484312,B612咔叽 - 点缀你的自然美
109,微信
535,QQ
173,王者荣耀
278551,王者荣耀助手
45155,ofo共享单车-智能无桩好骑
166650,摩拜单车-好骑可靠的共享单车
1430,支付宝 - 让生活更简单
1744,淘宝 - 移动购物，生活社区
1791,爱奇艺-芸汐传全网独播
438,腾讯视频-扶摇独播
2478,"高德地图-精准地图,导航出行必备"
2059,"美团-吃喝玩乐,尽在美团"
7571,Faceu激萌 - 新版自拍更美哟
190,酷狗音乐-《无限歌谣季》官方音乐APP
4098,BeautyCam美颜相机
1104,QQ音乐 - 发现・独家正版好音乐
1101,WiFi万能钥匙-Wi-Fi安全一键连
2006,美图秀秀
182,百度
1760,QQ同步助手-手机通讯录安全备份管家
1981,京东-挑好物，上京东
1451,优酷视频-世界杯赛事全程高清直播
6799,全民K歌 – K歌短视频互动平台
4055,网易云音乐-音乐的力量
1519,微博
2375,百度地图-出行导航必备的智能路线规划软件
3502,百度网盘
3583,滴滴出行-滴滴一下，美好出行
2252,快手
973,QQ浏览器-王卡免流量看视频直播
1087,"饿了么-外卖订餐,美食30分钟到家"
6929,搜狗输入法-语音输入文字扫描
1022,携程旅行-让旅行更幸福
3997,UC浏览器-世界杯精彩短视频头条资讯抢先看
2603,QQ邮箱
5991,美拍
526,腾讯新闻-事实派的热点资讯娱乐短视频软件
115,欢乐斗地主
9397,拼多多-多多果园种树领水果
3274,今日头条
5367,"美团外卖-外卖订餐,送啥都快"
991,唯品会 - 全球精选 正品特卖
4420,芒果TV
3030,"闲鱼-挂闲鱼,闲置能换钱"
279316,VUE 视频博客
3952,中国移动（手机营业厅）
3710,铁路12306
106,掌上英雄联盟 for LOL
369,哔哩哔哩-弹幕番剧直播高清视频
849972,弹弹堂
133,开心消消乐®
1778,中国建设银行
5992,in-我的生活in记
2688,58同城-招聘找工作兼职租房二手房
3528,平安金管家-值得信赖的移动财富生活管家
8717,潮自拍-潮人必备拍照P图相机
508860,抖音短视频
2009,中国联通手机营业厅客户端(官方版)
476,大众点评-分享你的潮生活
